ID,District,Province,given_label,suggested_label,pred_confidence,uncertainty,is_issue
3-315-12-2-05092023-1-2220,Kohat,Khyber Pakhtunkhwa,Sugarcane,Cotton,0.9923,0.054,True
3-315-12-2-05092023-1-2275,Kohat,Khyber Pakhtunkhwa,Maize,Cotton,0.9967,0.0264,True
3-315-22-2-05092023-1-1923,Kohat,Khyber Pakhtunkhwa,Maize,Sorghum,0.9924,0.0471,True
3-315-22-2-05092023-1-1944,Kohat,Khyber Pakhtunkhwa,Sorghum,Cotton,0.9967,0.0263,True
3-315-22-2-05092023-1-1957,Kohat,Khyber Pakhtunkhwa,Maize,Sorghum,0.9969,0.0243,True
3-315-22-2-05092023-1-1958,Kohat,Khyber Pakhtunkhwa,Sesame (Til),Sorghum,0.9906,0.0572,True
3-315-22-2-05092023-1-1970,Kohat,Khyber Pakhtunkhwa,Maize,Sorghum,0.9961,0.0292,True
3-315-22-2-05092023-1-1975,Kohat,Khyber Pakhtunkhwa,Maize,Cotton,0.9987,0.0119,True
3-315-22-2-05092023-1-1981,Kohat,Khyber Pakhtunkhwa,Maize,Sorghum,0.9976,0.0203,True
3-315-22-2-05092023-1-1988,Kohat,Khyber Pakhtunkhwa,Maize,Sorghum,0.9937,0.0465,True
3-315-22-2-05092023-1-1989,Kohat,Khyber Pakhtunkhwa,Maize,Sorghum,0.9987,0.0109,True
3-315-22-2-06092023-1-2010,Kohat,Khyber Pakhtunkhwa,Sesame (Til),Sorghum,0.9964,0.0286,True
3-317-12-2-20082023-1-106,Peshawar,Khyber Pakhtunkhwa,Sugarcane,Maize,0.9999,0.0014,True
3-317-12-2-20082023-1-86,Peshawar,Khyber Pakhtunkhwa,Sugarcane,Maize,0.9998,0.0017,True
3-317-12-2-21082023-1-123,Peshawar,Khyber Pakhtunkhwa,Sorghum,Maize,0.9999,0.0009,True
3-317-12-2-21082023-1-124,Peshawar,Khyber Pakhtunkhwa,Maize,Sorghum,0.9999,0.0012,True
3-317-12-2-22082023-1-213,Peshawar,Khyber Pakhtunkhwa,Maize,Sugarcane,0.9996,0.0041,True
3-317-12-2-22082023-1-246,Peshawar,Khyber Pakhtunkhwa,Sugarcane,Maize,0.9916,0.0503,True
3-317-22-2-19082023-1-16,Peshawar,Khyber Pakhtunkhwa,Sorghum,Maize,0.9977,0.0177,True
3-317-22-2-19082023-1-29,Peshawar,Khyber Pakhtunkhwa,Sugarcane,Maize,0.9999,0.0013,True
3-317-22-2-19082023-1-31,Peshawar,Khyber Pakhtunkhwa,Maize,Rice,0.9996,0.004,True
3-317-22-2-20082023-1-109,Peshawar,Khyber Pakhtunkhwa,Maize,Rice,0.992,0.0497,True
3-317-22-2-20082023-1-126,Peshawar,Khyber Pakhtunkhwa,Sorghum,Maize,0.9998,0.0017,True
3-317-22-2-20082023-1-64,Peshawar,Khyber Pakhtunkhwa,Sugarcane,Sorghum,0.9989,0.01,True
3-317-22-2-21082023-1-152,Peshawar,Khyber Pakhtunkhwa,Maize,Sorghum,0.9972,0.0208,True
3-317-22-2-22082023-1-258,Peshawar,Khyber Pakhtunkhwa,Sorghum,Maize,0.9986,0.0119,True
3-320-20-2-24082023-1-475,Haripur,Khyber Pakhtunkhwa,Maize,Sorghum,0.9999,0.0009,True
3-320-20-2-24082023-1-559,Haripur,Khyber Pakhtunkhwa,Maize,Sorghum,0.9913,0.0512,True
3-320-20-2-24082023-1-566,Haripur,Khyber Pakhtunkhwa,Maize,Sorghum,0.9996,0.0041,True
3-320-20-2-24082023-1-593,Haripur,Khyber Pakhtunkhwa,Maize,Rice,0.9986,0.0121,True
3-320-20-2-25082023-1-636,Haripur,Khyber Pakhtunkhwa,Maize,Sorghum,0.9959,0.0305,True
3-320-20-2-25082023-1-643,Haripur,Khyber Pakhtunkhwa,Maize,Sorghum,0.9996,0.0038,True
3-320-24-2-24082023-1-329,Haripur,Khyber Pakhtunkhwa,Maize,Sorghum,0.9994,0.0056,True
3-320-24-2-24082023-1-330,Haripur,Khyber Pakhtunkhwa,Maize,Sorghum,0.9999,0.0012,True
3-320-24-2-25082023-1-400,Haripur,Khyber Pakhtunkhwa,Maize,Sorghum,0.9958,0.0297,True
3-320-24-2-25082023-1-424,Haripur,Khyber Pakhtunkhwa,Maize,Cotton,0.9993,0.0068,True
3-324-20-2-19082023-1-101,Malakand,Khyber Pakhtunkhwa,Maize,Sugarcane,0.9967,0.0266,True
3-324-24-2-19082023-1-55,Malakand,Khyber Pakhtunkhwa,Maize,Sugarcane,0.9979,0.0176,True
3-325-20-2-06092023-1-1426,Mansehra,Khyber Pakhtunkhwa,Maize,Sorghum,0.9961,0.0302,True
3-325-24-2-08092023-1-1473,Mansehra,Khyber Pakhtunkhwa,Maize,Sugarcane,0.9945,0.0425,True
3-326-12-2-01092023-1-1435,Mardan,Khyber Pakhtunkhwa,Sugarcane,Maize,0.9991,0.0081,True
3-326-12-2-01092023-1-1462,Mardan,Khyber Pakhtunkhwa,Rice,Sugarcane,0.9985,0.0136,True
3-326-12-2-29082023-1-1014,Mardan,Khyber Pakhtunkhwa,Sugarcane,Maize,0.9945,0.0359,True
3-326-12-2-29082023-1-983,Mardan,Khyber Pakhtunkhwa,Sugarcane,Maize,1.0,0.0006,True
3-326-12-2-30082023-1-1113,Mardan,Khyber Pakhtunkhwa,Maize,Sorghum,0.9948,0.035,True
3-326-12-2-30082023-1-1144,Mardan,Khyber Pakhtunkhwa,Sorghum,Sugarcane,0.9941,0.0433,True
3-326-12-2-30082023-1-1212,Mardan,Khyber Pakhtunkhwa,Maize,Sugarcane,0.9981,0.0166,True
3-326-12-2-30082023-1-1294,Mardan,Khyber Pakhtunkhwa,Sorghum,Maize,0.9998,0.0017,True
3-326-12-2-30082023-1-1306,Mardan,Khyber Pakhtunkhwa,Maize,Sugarcane,0.9979,0.0179,True
3-326-12-2-31082023-1-1334,Mardan,Khyber Pakhtunkhwa,Sorghum,Sugarcane,0.9987,0.0121,True
3-326-12-2-31082023-1-1348,Mardan,Khyber Pakhtunkhwa,Rice,Sugarcane,0.9989,0.0096,True
3-326-12-2-31082023-1-1359,Mardan,Khyber Pakhtunkhwa,Rice,Maize,0.9951,0.0359,True
3-326-12-2-31082023-1-1411,Mardan,Khyber Pakhtunkhwa,Rice,Sorghum,0.9932,0.0497,True
3-326-22-2-29082023-1-1018,Mardan,Khyber Pakhtunkhwa,Maize,Sugarcane,0.9979,0.0166,True
3-326-22-2-29082023-1-1024,Mardan,Khyber Pakhtunkhwa,Maize,Sugarcane,0.9993,0.0066,True
3-326-22-2-29082023-1-1026,Mardan,Khyber Pakhtunkhwa,Maize,Sugarcane,0.9961,0.0303,True
3-326-22-2-29082023-1-1031,Mardan,Khyber Pakhtunkhwa,Sugarcane,Maize,0.9995,0.0042,True
3-326-22-2-29082023-1-1039,Mardan,Khyber Pakhtunkhwa,Sugarcane,Maize,0.9998,0.0018,True
3-326-22-2-29082023-1-992,Mardan,Khyber Pakhtunkhwa,Sugarcane,Maize,0.9998,0.0017,True
3-326-22-2-30082023-1-1100,Mardan,Khyber Pakhtunkhwa,Rice,Maize,0.9952,0.0311,True
3-326-22-2-30082023-1-1126,Mardan,Khyber Pakhtunkhwa,Sugarcane,Rice,0.9972,0.0213,True
3-326-22-2-30082023-1-1137,Mardan,Khyber Pakhtunkhwa,Maize,Sugarcane,0.9988,0.0105,True
3-326-22-2-30082023-1-1236,Mardan,Khyber Pakhtunkhwa,Rice,Maize,0.999,0.0087,True
3-326-22-2-30082023-1-1272,Mardan,Khyber Pakhtunkhwa,Maize,Sugarcane,0.9983,0.0142,True
3-326-22-2-30082023-1-1292,Mardan,Khyber Pakhtunkhwa,Maize,Sugarcane,0.9991,0.0084,True
3-327-12-2-24082023-1-448,Nowshera,Khyber Pakhtunkhwa,Sesame (Til),Cotton,0.996,0.0318,True
3-327-12-2-24082023-1-509,Nowshera,Khyber Pakhtunkhwa,Maize,Sorghum,0.9976,0.0208,True
3-327-12-2-25082023-1-544,Nowshera,Khyber Pakhtunkhwa,Sorghum,Maize,0.9993,0.0066,True
