ID,District,Province,given_label,suggested_label,pred_confidence,uncertainty,is_issue
1-117-22-1-06032023-2-489,Rahim Yar Khan,Punjab,Maize,Sugarcane,0.9986,0.0115,True
1-117-22-1-06032023-2-593,Rahim Yar Khan,Punjab,Wheat,Sugarcane,0.9991,0.0074,True
1-117-22-1-06032023-2-601,Rahim Yar Khan,Punjab,Sugarcane,Wheat,0.9979,0.0172,True
1-117-22-1-06032023-2-616,Rahim Yar Khan,Punjab,Rapeseed Mustard,Wheat,0.9987,0.0117,True
1-117-22-1-06032023-2-648,Rahim Yar Khan,Punjab,Wheat,Maize,0.9993,0.0065,True
1-117-22-1-06032023-2-656,Rahim Yar Khan,Punjab,Barseem,Wheat,0.9977,0.0189,True
1-117-22-1-06032023-2-671,Rahim Yar Khan,Punjab,Wheat,Barseem,0.9996,0.004,True
1-117-22-1-06032023-2-686,Rahim Yar Khan,Punjab,Rapeseed Mustard,Wheat,0.9982,0.0158,True
1-117-22-1-07032023-1-751,Rahim Yar Khan,Punjab,Rapeseed Mustard,Wheat,0.9994,0.0058,True
1-117-22-1-07032023-2-718,Rahim Yar Khan,Punjab,Barseem,Wheat,0.998,0.0169,True
1-117-22-1-07032023-2-723,Rahim Yar Khan,Punjab,Sugarcane,Barseem,0.9992,0.0073,True
1-117-22-1-07032023-2-766,Rahim Yar Khan,Punjab,Wheat,Rapeseed Mustard,0.9994,0.0061,True
1-117-5-1-02032023-1-12,Rajanpur,Punjab,Rapeseed Mustard,Wheat,0.9996,0.004,True
1-117-5-1-03032023-2-152,Rajanpur,Punjab,Wheat,Rapeseed Mustard,0.9997,0.0027,True
1-118-1-1-02032023-2-32,Sialkot,Punjab,Wheat,Barseem,0.9975,0.0184,True
1-118-1-1-03032023-2-120,Sialkot,Punjab,Barseem,Wheat,0.9993,0.0063,True
1-118-1-1-03032023-2-143,Sialkot,Punjab,Barseem,Wheat,0.9982,0.0147,True
1-118-17-1-02032023-2-29,Sialkot,Punjab,Wheat,Barseem,0.9978,0.0165,True
1-118-17-1-03032023-1-202,Sialkot,Punjab,Sugarcane,Wheat,0.9993,0.0066,True
1-118-17-1-04032023-1-260,Sialkot,Punjab,Maize,Wheat,0.9973,0.0214,True
1-119-1-1-13032023-2-1675,Toba Tek Singh,Punjab,Wheat,Barseem,0.999,0.0089,True
1-119-1-1-14032023-2-1869,Toba Tek Singh,Punjab,Wheat,Barseem,0.9978,0.0175,True
1-119-1-1-14032023-2-1908,Toba Tek Singh,Punjab,Barseem,Wheat,0.9989,0.01,True
1-119-1-1-14032023-2-1937,Toba Tek Singh,Punjab,Barseem,Wheat,0.9979,0.0176,True
1-119-1-1-14032023-2-1964,Toba Tek Singh,Punjab,Rapeseed Mustard,Wheat,0.9986,0.0119,True
1-119-1-1-14032023-2-2064,Toba Tek Singh,Punjab,Barseem,Wheat,0.999,0.0091,True
1-119-1-1-14032023-2-2095,Toba Tek Singh,Punjab,Barseem,Rapeseed Mustard,0.9996,0.0037,True
1-119-17-1-14032023-1-1303,Toba Tek Singh,Punjab,Rapeseed Mustard,Wheat,0.9992,0.0077,True
1-119-17-1-14032023-2-1329,Toba Tek Singh,Punjab,Wheat,Sugarcane,0.9977,0.0176,True
1-119-17-1-14032023-2-1341,Toba Tek Singh,Punjab,Wheat,Maize,0.9993,0.0065,True
1-120-16-1-09032023-1-1125,Vehari,Punjab,Maize,Wheat,0.9973,0.0213,True
1-120-16-1-10032023-1-1188,Vehari,Punjab,Wheat,Rapeseed Mustard,0.9995,0.0052,True
1-120-18-1-08032023-1-726,Vehari,Punjab,Wheat,Maize,0.9997,0.003,True
1-120-18-1-09032023-2-937,Vehari,Punjab,Maize,Wheat,0.9981,0.0156,True
2-201-13-1-03032023-1-4,Badin,Sindh,Wheat,Barseem,0.9999,0.0011,True
2-201-13-1-04032023-1-140,Badin,Sindh,Rapeseed Mustard,Wheat,0.9978,0.0187,True
2-201-13-1-05032023-2-283,Badin,Sindh,Barseem,Wheat,0.9993,0.0061,True
2-201-13-1-05032023-2-286,Badin,Sindh,Rapeseed Mustard,Wheat,0.9994,0.006,True
2-201-13-1-06032023-2-413,Badin,Sindh,Sugarcane,Barseem,0.9986,0.0121,True
2-201-13-1-07032023-2-435,Mirpur Khas,Sindh,Wheat,Barseem,0.9986,0.0124,True
2-201-15-1-04032023-2-113,Badin,Sindh,Rapeseed Mustard,Wheat,0.9989,0.01,True
2-201-15-1-05032023-2-274,Badin,Sindh,Rapeseed Mustard,Wheat,0.9972,0.0221,True
2-201-15-1-05032023-2-281,Badin,Sindh,Rapeseed Mustard,Barseem,0.9999,0.001,True
2-201-15-1-05032023-2-298,Badin,Sindh,Wheat,Rapeseed Mustard,0.9998,0.0019,True
2-201-15-1-06032023-2-384,Badin,Sindh,Wheat,Rapeseed Mustard,0.9983,0.0134,True
2-201-15-1-07032023-2-415,Mirpur Khas,Sindh,Wheat,Sugarcane,0.9985,0.0133,True
2-201-15-1-07032023-2-436,Mirpur Khas,Sindh,Sugarcane,Wheat,0.9973,0.0218,True
2-202-12-1-14032023-1-1538,Dadu,Sindh,Wheat,Barseem,0.9974,0.0215,True
2-202-12-1-14032023-1-1544,Dadu,Sindh,Wheat,Barseem,0.9988,0.011,True
2-202-14-1-13032023-1-1559,Dadu,Sindh,Sugarcane,Wheat,0.9992,0.0077,True
2-202-14-1-14032023-1-1570,Dadu,Sindh,Rapeseed Mustard,Wheat,0.9991,0.0085,True
2-202-14-1-14032023-1-1634,Dadu,Sindh,Rapeseed Mustard,Wheat,0.9981,0.0152,True
2-202-14-1-14032023-1-1636,Dadu,Sindh,Wheat,Rapeseed Mustard,0.9997,0.0033,True
2-203-22-1-08032023-2-914,Ghotki,Sindh,Wheat,Barseem,0.9986,0.0124,True
2-203-22-1-08032023-2-937,Ghotki,Sindh,Wheat,Sugarcane,0.9994,0.0053,True
2-204-22-1-14032023-2-1461,Jacobabad,Sindh,Barseem,Wheat,0.9987,0.0113,True
